City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tzaneen,-23.8332,30.1635,19.26,91,73,0.73,ZA,1702004976
1,port-aux-francais,-49.35,70.2167,4.49,85,97,15.54,TF,1702004976
2,naze,28.3667,129.4833,17.57,58,0,2.53,JP,1702004976
3,severo-yeniseyskiy,60.3725,93.0408,-31.9,93,100,1.34,RU,1702004977
4,port alfred,-33.5906,26.891,16.77,87,11,1.34,ZA,1702004977
5,mossel bay,-34.1831,22.146,18.39,82,0,6.65,ZA,1702004977
6,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,77,75,4.0,RU,1702004978
7,kisvarda,48.2167,22.0833,-2.53,98,77,1.59,HU,1702004978
8,yellowknife,62.456,-114.3525,-15.9,95,100,2.24,CA,1702004978
9,ikovka,55.6089,64.9375,-26.08,93,6,1.68,RU,1702004979
10,east london,-33.0153,27.9116,20.22,81,13,2.86,ZA,1702004979
11,usogorsk,63.4106,48.6872,-29.63,99,17,0.38,RU,1702004979
12,lompoc,34.6391,-120.4579,14.4,77,0,8.49,US,1702004980
13,waingapu,-9.6567,120.2641,30.63,66,98,2.18,ID,1702004980
14,poronaysk,49.2167,143.1167,-1.3,65,100,5.88,RU,1702004980
15,senanga,-16.1167,23.2667,21.48,67,23,1.27,ZM,1702004981
16,college,64.8569,-147.8028,-18.08,81,75,0.0,US,1702004721
17,coquimbo,-29.9533,-71.3436,15.73,84,15,1.87,CL,1702004981
18,avarua,-21.2078,-159.775,26.03,65,100,7.2,CK,1702004982
19,port moresby,-9.4431,147.1797,29.56,62,87,3.88,PG,1702004696
20,georgetown,5.4112,100.3354,29.96,74,20,4.12,MY,1702004922
21,thompson,55.7435,-97.8558,-6.56,97,100,1.28,CA,1702004982
22,vorgashor,67.5833,63.95,-24.7,99,100,1.57,RU,1702004982
23,waitangi,-43.9535,-176.5597,13.79,67,86,7.61,NZ,1702004987
24,santarem,-2.4431,-54.7083,28.07,78,0,3.09,BR,1702004990
25,winnemucca,40.973,-117.7357,3.03,70,40,6.69,US,1702004990
26,pokhara,28.2333,83.9833,15.76,72,1,0.45,NP,1702005001
27,bilibino,68.0546,166.4372,-36.82,99,63,1.06,RU,1702005001
28,grytviken,-54.2811,-36.5092,-1.32,88,60,4.53,GS,1702005001
29,jasrana,27.25,78.6833,19.46,51,86,1.56,IN,1702005001
30,port lincoln,-34.7333,135.8667,23.54,52,100,4.19,AU,1702005002
31,adamstown,-25.066,-130.1015,23.01,78,87,4.21,PN,1702005012
32,papatowai,-46.5619,169.4708,17.52,54,100,4.72,NZ,1702005012
33,jianshui,23.6363,102.8264,18.13,75,100,2.75,CN,1702005013
34,tual,-5.6667,132.75,28.89,70,98,0.91,ID,1702005021
35,machico,32.7,-16.7667,19.28,81,20,1.54,PT,1702005022
36,columbus,39.9612,-82.9988,8.01,69,75,4.12,US,1702004825
37,tolanaro,-25.0319,46.9987,23.21,86,99,6.18,MG,1702005023
38,yangshuo,24.7808,110.4897,20.81,41,10,1.51,CN,1702005024
39,isla vista,34.4133,-119.861,16.1,60,0,2.06,US,1702005024
40,bikenibeu village,1.3673,173.1241,26.98,89,100,2.06,KI,1702005024
41,puerto natales,-51.7236,-72.4875,8.29,90,92,1.53,CL,1702005025
42,el nido,11.1858,119.3956,28.6,74,97,5.68,PH,1702005026
43,arraial do cabo,-22.9661,-42.0278,23.72,92,20,6.45,BR,1702004958
44,bazarnyy karabulak,52.2683,46.4144,-22.54,100,13,2.14,RU,1702005027
45,ganganagar,29.9167,73.8833,15.97,31,0,0.7,IN,1702004798
46,bredasdorp,-34.5322,20.0403,16.78,80,0,3.22,ZA,1702005028
47,ghadamis,30.1337,9.5007,10.94,77,7,2.31,LY,1702005028
48,alaghsas,17.0187,8.0168,19.38,19,93,3.18,NE,1702004922
49,olonkinbyen,70.9221,-8.7187,-3.08,76,85,5.63,SJ,1702005029
50,bethel,41.3712,-73.414,1.08,84,21,1.79,US,1702004838
51,tazovsky,67.4667,78.7,-27.31,93,6,5.82,RU,1702005029
52,toliara,-23.35,43.6667,24.83,66,96,2.83,MG,1702005030
53,atafu village,-8.5421,-172.5159,28.8,73,82,1.6,TK,1702005030
54,kaohsiung,22.6163,120.3133,26.97,63,75,1.54,TW,1702004947
55,kodiak,57.79,-152.4072,-3.27,54,0,5.14,US,1702005031
56,hamilton,39.1834,-84.5333,9.89,63,100,4.12,US,1702004846
57,albany,42.6001,-73.9662,-0.91,88,75,0.29,US,1702004931
58,kpandae,8.4689,-0.0113,26.06,58,66,1.42,GH,1702005032
59,porto novo,6.4965,2.6036,26.36,84,99,1.98,BJ,1702005033
60,ushuaia,-54.8,-68.3,6.79,86,82,8.05,AR,1702005033
61,udachny,66.4167,112.4,-28.64,82,100,1.55,RU,1702005034
62,likasi,-10.9814,26.7333,16.45,96,96,0.86,CD,1702005034
63,acapulco de juarez,16.8634,-99.8901,27.9,83,40,2.57,MX,1702004748
64,idfu,24.9803,32.8747,17.08,36,0,3.06,EG,1702005035
65,pandan,14.0453,124.1694,28.77,72,97,4.09,PH,1702005036
66,ghat,24.9647,10.1728,13.57,38,5,2.96,LY,1702005036
67,whitehorse,60.7161,-135.0538,-4.83,85,100,5.81,CA,1702004883
68,klyuchi,52.2667,79.1667,-22.75,74,95,3.53,RU,1702005037
69,bechar,31.6167,-2.2167,14.55,42,100,2.19,DZ,1702005037
70,easton,40.6884,-75.2207,3.25,86,55,1.57,US,1702004424
71,timmins,48.4669,-81.3331,-3.1,100,100,2.06,CA,1702004859
72,mata-utu,-13.2816,-176.1745,28.48,78,99,6.21,WF,1702005038
73,ancud,-41.8697,-73.8203,9.15,90,0,1.5,CL,1702005038
74,berriane,32.8265,3.7669,13.08,64,63,3.62,DZ,1702005039
75,peace river,56.2501,-117.286,-3.46,68,16,1.93,CA,1702004844
76,edinburgh of the seven seas,-37.0676,-12.3116,14.95,85,100,7.25,SH,1702005039
77,namibe,-15.1961,12.1522,22.95,75,100,4.18,AO,1702005039
78,port mathurin,-19.6833,63.4167,25.94,74,6,3.48,MU,1702004930
79,nicoya,10.1483,-85.452,23.56,84,11,3.47,CR,1702005040
80,cockburn town,21.4612,-71.1419,25.23,69,100,7.82,TC,1702005020
81,taoudenni,22.6783,-3.9836,19.21,30,87,4.55,ML,1702004947
82,new norfolk,-42.7826,147.0587,21.72,22,86,1.74,AU,1702005041
83,bor,56.3567,44.0669,-17.04,99,85,1.86,RU,1702005042
84,iqaluit,63.7506,-68.5145,-15.11,93,8,3.04,CA,1702005042
85,jamestown,42.097,-79.2353,3.77,99,0,1.54,US,1702004932
86,sirte,31.2089,16.5887,17.72,70,97,8.7,LY,1702005042
87,enewetak,11.3474,162.3373,27.81,78,91,8.59,MH,1702005043
88,bonthe,7.5264,-12.505,25.55,84,0,1.11,SL,1702005043
89,blackmans bay,-43.0167,147.3167,21.07,64,76,0.89,AU,1702005043
90,utrik,11.2278,169.8474,27.59,76,68,9.99,MH,1702005044
91,udayagiri,20.1333,84.3833,19.73,81,29,1.4,IN,1702005044
92,sal rei,16.1833,-22.9167,24.45,75,0,6.43,CV,1702005044
93,crane,31.3974,-102.3501,16.23,52,0,6.36,US,1702005044
94,tura,25.5198,90.2201,18.38,86,71,1.68,IN,1702005045
95,boca suno,-0.7167,-77.1333,22.34,88,100,0.2,EC,1702005045
96,gazli,40.1333,63.45,2.54,36,100,2.84,UZ,1702005045
97,praia da vitoria,38.7333,-27.0667,19.31,98,100,13.33,PT,1702005045
98,puerto ayora,-0.7393,-90.3518,24.19,96,45,2.24,EC,1702005046
99,san patricio,28.017,-97.5169,22.13,77,99,6.37,US,1702004965
100,ilulissat,69.2167,-51.1,-4.99,68,75,1.54,GL,1702005046
101,dunedin,-45.8742,170.5036,14.99,72,100,3.53,NZ,1702005034
102,barah,13.7,30.3667,17.86,28,6,3.61,SD,1702005047
103,la tour-du-pin,45.5667,5.45,7.59,94,100,1.76,FR,1702005047
104,kapuskasing,49.4169,-82.4331,-2.11,91,99,2.07,CA,1702005047
105,nova sintra,14.8667,-24.7167,21.89,68,2,2.75,CV,1702005047
106,punta arenas,-53.15,-70.9167,7.06,81,0,0.0,CL,1702004902
107,abancay,-13.6339,-72.8814,16.18,90,99,1.6,PE,1702005048
108,al muwayh,22.4333,41.7583,17.14,30,0,4.94,SA,1702005048
109,opuwo,-18.0607,13.84,22.61,39,86,1.19,NA,1702005048
110,zgurovka,50.5028,31.7849,-3.36,96,100,5.48,UA,1702005049
111,havre,49.5833,0.3333,8.87,93,75,5.14,FR,1702005049
112,la'ie,21.6477,-157.9253,27.25,67,19,0.89,US,1702005049
113,hwange,-18.3693,26.5019,23.89,46,51,1.31,ZW,1702005050
114,san pedro pochutla,15.7333,-96.4667,24.26,72,18,1.59,MX,1702005050
115,vilyuysk,63.7553,121.6247,-45.56,100,97,1.34,RU,1702005050
116,along,28.1667,94.7667,16.75,80,99,1.04,IN,1702005051
117,kavaratti,10.5669,72.642,28.25,67,100,3.53,IN,1702005051
118,turochak,52.2576,87.1224,-17.34,97,100,0.81,RU,1702005051
119,westport,41.1415,-73.3579,2.9,86,0,2.06,US,1702005014
120,mar del plata,-38.0023,-57.5575,14.49,80,0,4.02,AR,1702004852
121,badger,64.8,-147.5333,-18.13,82,40,0.0,US,1702005052
122,ribeira grande,38.5167,-28.7,19.87,95,100,10.28,PT,1702005052
123,invercargill,-46.4,168.35,16.85,60,100,4.58,NZ,1702005052
124,longyearbyen,78.2186,15.6401,-1.09,69,40,6.69,SJ,1702005053
125,anna,51.4842,40.4299,-8.57,89,67,5.05,RU,1702005053
126,auki,-8.7676,160.7034,29.89,69,53,5.09,SB,1702005053
127,wailua homesteads,22.0669,-159.378,25.44,81,75,3.6,US,1702005054
128,dumka,24.2667,87.25,19.3,85,88,3.74,IN,1702005054
129,yallahs,17.8748,-76.5624,27.1,84,22,4.95,JM,1702005054
130,afaahiti,-17.75,-149.2833,25.93,85,100,8.6,PF,1702005055
131,lebu,-37.6167,-73.65,12.08,86,0,6.71,CL,1702005055
132,timon,-5.0942,-42.8367,29.88,62,0,3.09,BR,1702005055
133,st. john's,47.5649,-52.7093,-2.79,82,82,7.6,CA,1702005056
134,sur,22.5667,59.5289,21.94,50,0,0.93,OM,1702005056
